Provider ID,Hospital Name,schema:Hospital on Map,Address,City,schema:City,State,schema:State,ZIP Code,County Name,schema:County,Phone Number,Hospital Type,Hospital Ownership,Emergency Services,Meets criteria for meaningful use of EHRs,Hospital overall rating,Mortality national comparison,Safety of care national comparison,Readmission national comparison,Patient experience national comparison,Effectiveness of care national comparison,Timeliness of care national comparison,Efficient use of medical imaging national comparison
10005,MARSHALL MEDICAL CENTER SOUTH,https://nominatim.openstreetmap.org/search.php?q=MARSHALL+MEDICAL+CENTER+SOUTH&polygon_geojson=1&viewbox=,2505 U S HIGHWAY 431 NORTH,Boaz,https://www.wikidata.org/wiki/Q79855,Alabama,https://www.wikidata.org/wiki/Q173,35957,MARSHALL,,2565938310,Acute Care Hospitals,Government - Hospital District or Authority,true,true,1,Below the national average,Below the national average,Below the national average,Same as the national average,Above the national average,Above the national average,Below the national average
10012,DEKALB REGIONAL MEDICAL CENTER,https://nominatim.openstreetmap.org/search.php?q=DEKALB+REGIONAL+MEDICAL+CENTER&polygon_geojson=1&viewbox=,200 MED CENTER DRIVE,Fort Payne,https://www.wikidata.org/wiki/Q79653,Alabama,https://www.wikidata.org/wiki/Q173,35968,DeKalb County,https://www.wikidata.org/wiki/Q494626,2568453150,Acute Care Hospitals,Proprietary,true,true,2,Below the national average,Above the national average,Below the national average,Below the national average,Same as the national average,Above the national average,Same as the national average
10131,CRESTWOOD MEDICAL CENTER,https://nominatim.openstreetmap.org/search.php?q=CRESTWOOD+MEDICAL+CENTER&polygon_geojson=1&viewbox=,ONE HOSPITAL DR SE,Huntsville,https://www.wikidata.org/wiki/Q79860,Alabama,https://www.wikidata.org/wiki/Q173,35801,Madison County,https://www.wikidata.org/wiki/Q115166,2568823100,Acute Care Hospitals,Proprietary,true,true,2,Same as the national average,Below the national average,Below the national average,Below the national average,Same as the national average,Below the national average,Same as the national average
20018,YUKON KUSKOKWIM DELTA REG HOSPITAL,https://nominatim.openstreetmap.org/search.php?q=YUKON+KUSKOKWIM+DELTA+REG+HOSPITAL&polygon_geojson=1&viewbox=,PO BOX 287,Bethel,https://www.wikidata.org/wiki/Q80022,Alaska,https://www.wikidata.org/wiki/Q797,99559,BETHEL,,9075436300,Acute Care Hospitals,Tribal,true,true,3,Same as the national average,Not Available,Same as the national average,Below the national average,Same as the national average,Not Available,Not Available
30071,FORT DEFIANCE INDIAN HOSPITAL,https://nominatim.openstreetmap.org/search.php?q=FORT+DEFIANCE+INDIAN+HOSPITAL&polygon_geojson=1&viewbox=,PO BOX 649,Fort Defiance,https://www.wikidata.org/wiki/Q1026027,Arizona,https://www.wikidata.org/wiki/Q816,86504,Apache County,https://www.wikidata.org/wiki/Q58771,9287298000,Acute Care Hospitals,Government - Federal,true,,2,Same as the national average,Not Available,Below the national average,Same as the national average,Below the national average,Not Available,Not Available
30073,TUBA CITY REGIONAL HEALTH CARE CORPORATION,https://nominatim.openstreetmap.org/search.php?q=TUBA+CITY+REGIONAL+HEALTH+CARE+CORPORATION&polygon_geojson=1&viewbox=,PO BOX 600,Tuba City,https://www.wikidata.org/wiki/Q1013162,Arizona,https://www.wikidata.org/wiki/Q816,86045,Coconino County,https://www.wikidata.org/wiki/Q58684,9282832501,Acute Care Hospitals,Voluntary non-profit - Other,false,,3,Not Available,Above the national average,Below the national average,Below the national average,Below the national average,Not Available,Not Available
30084,CHINLE COMPREHENSIVE HEALTH CARE FACILITY,https://nominatim.openstreetmap.org/search.php?q=CHINLE+COMPREHENSIVE+HEALTH+CARE+FACILITY&polygon_geojson=1&viewbox=,"US HWY 191, HOSPITAL ROAD",Chinle,https://www.wikidata.org/wiki/Q1026032,Arizona,https://www.wikidata.org/wiki/Q816,86503,Apache County,https://www.wikidata.org/wiki/Q58771,9286747001,Acute Care Hospitals,Government - Federal,true,true,2,Not Available,Not Available,Below the national average,Below the national average,Below the national average,Not Available,Not Available
40018,SPARKS MEDICAL CENTER - VAN BUREN,https://nominatim.openstreetmap.org/search.php?q=SPARKS+MEDICAL+CENTER+-+VAN+BUREN&polygon_geojson=1&viewbox=,EAST MAIN AND SOUTH 20TH STREET,Van Buren,https://www.wikidata.org/wiki/Q79696,Arkansas,https://www.wikidata.org/wiki/Q1612,72957,Crawford County,https://www.wikidata.org/wiki/Q61005,4794743401,Acute Care Hospitals,Proprietary,true,true,3,Not Available,Not Available,Same as the national average,Same as the national average,Same as the national average,Above the national average,Not Available
40007,CHI-ST VINCENT INFIRMARY,https://nominatim.openstreetmap.org/search.php?q=CHI-ST+VINCENT+INFIRMARY&polygon_geojson=1&viewbox=,TWO ST VINCENT CIRCLE,Little Rock,https://www.wikidata.org/wiki/Q33405,Arkansas,https://www.wikidata.org/wiki/Q1612,72205,Pulaski County,https://www.wikidata.org/wiki/Q61160,5015523000,Acute Care Hospitals,Voluntary non-profit - Private,true,true,1,Below the national average,Below the national average,Below the national average,Below the national average,Same as the national average,Below the national average,Same as the national average
40050,OUACHITA COUNTY MEDICAL CENTER,https://nominatim.openstreetmap.org/search.php?q=OUACHITA+COUNTY+MEDICAL+CENTER&polygon_geojson=1&viewbox=,638 CALIFORNIA AVENUE,Camden,https://www.wikidata.org/wiki/Q79446,Arkansas,https://www.wikidata.org/wiki/Q1612,71701,Ouachita County,https://www.wikidata.org/wiki/Q61138,8708361000,Acute Care Hospitals,Voluntary non-profit - Private,true,true,3,Same as the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average,Above the national average,Not Available
